Player id,Player,Position,Number,D.O.B,Age,Height (cm),Caps,International goals,Plays in home country?
336722,Alan PULIDO,Forward,11,1991-03-08,23,176,5,4,True
368902,Adam TAGGART,Forward,9,1993-06-02,21,172,4,3,True
362641,Reza GHOOCHANNEJAD,Forward,16,1987-09-20,26,181,13,9,False
314197,NEYMAR,Forward,10,1992-02-05,22,175,48,31,False
212306,Didier DROGBA,Forward,11,1978-03-11,36,180,100,61,False
229884,David VILLA,Forward,7,1981-12-03,32,175,95,56,True
305372,Abel HERNANDEZ,Forward,8,1990-08-08,23,186,12,7,False
228599,Javier HERNANDEZ,Forward,14,1988-06-01,26,175,61,35,False
300409,Edin DZEKO,Forward,11,1986-03-17,28,192,62,35,False
184615,Klaas Jan HUNTELAAR,Forward,19,1983-08-12,30,187,61,34,False
271550,Gonzalo HIGUAIN,Forward,9,1987-12-10,26,184,36,20,False
227851,Oribe PERALTA,Forward,19,1984-01-12,30,177,27,15,True
354859,Islam SLIMANI,Forward,13,1988-06-18,26,188,19,10,False
182206,Miroslav KLOSE,Forward,11,1978-06-09,36,182,131,68,False
217315,Robin VAN PERSIE,Forward,9,1983-08-06,30,186,84,43,False
286278,Shinji OKAZAKI,Forward,9,1986-04-16,28,174,75,38,False
270775,Luis SUAREZ,Forward,9,1987-01-24,27,181,77,39,False
233952,FRED,Forward,9,1983-10-03,30,186,32,16,True
312316,Eric CHOUPO MOTING,Forward,13,1989-03-23,25,190,26,13,False
356411,Fabian SCHAER,Defender,22,1991-12-20,22,186,6,3,True
338673,Uche NWOFOR,Forward,19,1991-09-17,22,177,6,3,False
373224,Rickie LAMBERT,Forward,18,1982-02-16,32,188,4,2,True
379894,Miiko ALBORNOZ,Defender,3,1990-11-30,23,180,2,1,False
208353,Asamoah GYAN,Forward,3,1985-11-22,28,186,77,38,False
296994,El Arabi SOUDANI,Forward,15,1987-11-25,26,177,21,10,False
339508,Chris WONDOLOWSKI,Forward,18,1983-01-28,31,182,19,9,True
213001,Tim CAHILL,Forward,4,1979-12-06,34,180,68,32,False
214384,EDUARDO_1,Forward,22,1983-02-25,31,177,62,29,False
170667,Samuel ETOO,Forward,9,1981-03-10,33,181,117,54,False
271414,Carlo COSTLY,Forward,13,1982-07-18,31,190,68,31,True
275096,Yoichiro KAKITANI,Forward,11,1990-01-03,24,177,11,5,True
270301,Eduardo VARGAS,Forward,11,1989-11-20,24,175,29,13,False
201200,CRISTIANO RONALDO,Forward,7,1985-02-05,29,185,110,49,False
323623,Jerry BENGTSON,Forward,11,1987-04-08,27,187,43,19,False
229397,Lionel MESSI,Forward,10,1987-06-24,26,169,84,37,False
235097,Mubarak WAKASO,Midfielder,22,1990-07-25,23,171,16,7,False
356399,Josip DRMIC,Forward,19,1992-08-08,21,182,7,3,False
196842,Wayne ROONEY,Forward,10,1985-10-24,28,176,90,38,True
228528,Sergio AGUERO,Forward,20,1988-06-02,26,172,50,21,False
309716,Teofilo GUTIERREZ,Forward,9,1985-05-17,29,180,29,12,False
301059,Mario BALOTELLI,Forward,9,1990-08-12,23,189,29,12,True
364763,Emmanuel EMENIKE,Forward,9,1987-05-10,27,182,22,9,False
196789,Lukas PODOLSKI,Forward,10,1985-06-04,29,180,113,46,False
187203,HELDER POSTIGA,Forward,23,1982-08-02,31,182,67,27,False
367261,Nabil GHILAS,Forward,9,1990-04-20,24,183,5,2,False
207761,PARK Chuyoung,Forward,10,1985-07-10,28,183,62,24,False
306548,Andre SCHUERRLE,Forward,9,1990-11-06,23,184,32,12,False
275136,Yuya OSAKO,Forward,18,1990-05-18,24,182,8,3,False
300411,Vedad IBISEVIC,Forward,9,1984-08-06,29,189,55,20,False
233500,Keisuke HONDA,Forward,4,1986-06-13,28,182,55,20,False
274034,Danny WELBECK,Forward,11,1990-11-26,23,184,22,8,True
306532,Daniel STURRIDGE,Forward,9,1989-09-01,24,179,11,4,True
319470,Mario GAVRANOVIC,Forward,17,1989-11-24,24,175,11,4,True
